Nome,nacionalidade,categoria,cor,cilindradas,preços
CG 160 Start,Nacional,Street,Prata Metálico - Force Silver Metallic,"162,7 cc",R$ 14.650
CG 160 Fan,Nacional,Street,Cinza Metálico - Embare Gray Metallic,"162,7 cc",R$ 16.070
CG 160 Titan,Nacional,Street,Azul Perolizado - Pearl Spencer Blue,"162,7 cc",R$ 17.440
CG 160 Cargo,Nacional,Street,Branco - Ross White,"162,7 cc",R$ 15.970
Pop 110i ES,Nacional,Street,Branco - Ross White,"109,5 cc",R$ 9.690
Biz 125,Nacional,Street,Vermelho - Maceio Red,"123,9 cc.",R$ 12.000
Elite 125,Nacional,Street,Azul Metálico - Mystery Blue Metallic,"123,9 cc",R$ 12.966
PCX,Nacional,Street,Cinza Metálico - Una Gray Metallic,"156,9 cc",R$ 16.800
Honda ADV,Nacional,Street,Verde Fosco - Mat Hunter Green Metallic,"149,3 cc",R$ 23.060
X-ADV,Nacional,Street,Cinza Metálico - Iridium Grey Metallic,745 cc,R$ 93.500
CB 300F Twister,Nacional,Street,Cinza Metálico - Cynos Gray Metallic,"293,5 cc",R$ 22.370
CB 500F,Nacional,Street,Cinza Fosco – Mat Crow Gray Metallic,471 cc,R$ 40.660
CB 650R,Nacional,Street,Laranja Perolizado - Pearl Damasco Orange,649 cc,R$ 52.590
CB 1000R,Nacional,Street,Vermelho Metálico – Bordeaux Red Metallic,"998,4 cc",R$ 78.870
CB 1000R Black Edition,Nacional,Street,Azul Fosco – Mat Jeans Blue Metallic,"998,4 cc",R$ 87.730
XR 300L Tornado,Nacional,Adventure,Vermelho - Fighting Red,"293,5 cc",R$ 27.690
NXR 160 Bros,Nacional,Adventure,Vermelho - Fighting Red,"162,7 cc",R$ 20.490
Sahara 300,Nacional,Adventure,Cinza Metálico,"293,5 cc",R$ 28.170
XRE 190,Nacional,Adventure,Azul Metálico - Mat Noturno Blue Metallic,"184,4 cc",R$ 22.006
CB 500X,Nacional,Adventure,Verde – Mat Hunter Green,471cc,R$ 43.260
NC 750X,Importado,Adventure,Vermelho - Victory Red,745 cc,R$ 52.680
CRF 1100L Africa Twin,Nacional,Adventure,Azul Metálico - Glint Wave Blue Metallic,1.084 cc,R$ 81.100
CRF 1100L Africa Twin Adventure Sports,Nacional,Adventure,Branco Perolizado - Pearl Glare White,1.084 cc,R$ 102.130
Honda ADV,Nacional,Street,Verde Fosco - Mat Hunter Green Metallic,"149,3 cc",R$ 23.060
X-ADV,Nacional,Street,Cinza Metálico - Iridium Grey Metallic,745 cc,R$ 93.500
CRF 250F,Nacional,Off Road,Vermelho - Extreme Red,"249,58 cc",R$ 22.280
Linha CRF 250,Importado,Off Road,Vermelho - Grand Prix Red,"249,4cc",R$ 71.163
Linha CRF 450,Importado,Off Road,Vermelho - Grand Prix Red,"449,7 cc",R$ 74.878
TRX 420 FourTrax,Nacional,Off Road,Vermelho - Red Patriot,420 cc,R$ 50.000
CBR 650R,Nacional,Sport,Vermelho - Victory Red,649 cc,R$ 55.360
CBR 1000RR-R FIREBLADE SP,Importado,Sport,Vermelho - Grand Prix Red,1.000 cc,R$ 193.500
GL 1800 Gold Wing Tour,Importado,Touring,Vermelho – Candy Ardent Red,1.833 cc,R$ 304.450
